CMDLINE ns-train l3gs
MEM 13140.257812 1704770368.6020
MEM 13140.257812 1704770368.7024
MEM 13140.257812 1704770368.8029
MEM 13140.257812 1704770368.9034
MEM 13140.257812 1704770369.0038
MEM 13140.257812 1704770369.1043
MEM 13140.257812 1704770369.2048
MEM 13140.257812 1704770369.3052
MEM 13140.257812 1704770369.4059
MEM 13140.414062 1704770369.5063
MEM 13204.816406 1704770369.6067
MEM 13248.230469 1704770369.7071
MEM 13249.648438 1704770369.8074
MEM 13250.382812 1704770369.9078
MEM 13308.292969 1704770370.0081
MEM 13343.449219 1704770370.1084
MEM 13360.507812 1704770370.2087
MEM 13420.675781 1704770370.3092
MEM 13445.992188 1704770370.4095
MEM 13458.269531 1704770370.5102
MEM 13458.269531 1704770370.6107
MEM 13458.269531 1704770370.7111
MEM 13458.269531 1704770370.8114
MEM 13458.269531 1704770370.9119
MEM 13458.269531 1704770371.0123
MEM 13458.269531 1704770371.1130
MEM 13458.269531 1704770371.2133
MEM 13458.269531 1704770371.3138
MEM 13458.269531 1704770371.4143
MEM 13458.269531 1704770371.5148
MEM 13458.269531 1704770371.6155
MEM 13458.269531 1704770371.7162
MEM 13458.269531 1704770371.8165
MEM 13458.269531 1704770371.9169
MEM 13458.269531 1704770372.0173
MEM 13458.269531 1704770372.1179
MEM 13458.269531 1704770372.2184
MEM 13458.269531 1704770372.3187
MEM 13458.269531 1704770372.4190
MEM 13458.269531 1704770372.5193
MEM 13458.269531 1704770372.6196
MEM 13458.269531 1704770372.7200
MEM 13458.269531 1704770372.8203
MEM 13458.269531 1704770372.9206
MEM 13458.269531 1704770373.0209
MEM 13458.269531 1704770373.1213
MEM 13458.269531 1704770373.2216
MEM 13458.269531 1704770373.3219
MEM 13458.269531 1704770373.4222
MEM 13463.089844 1704770373.5228
MEM 13463.089844 1704770373.6231
MEM 13465.648438 1704770373.7234
MEM 13465.648438 1704770373.8237
MEM 13465.648438 1704770373.9242
MEM 13465.648438 1704770374.0246
MEM 13465.648438 1704770374.1251
MEM 13465.648438 1704770374.2256
MEM 13465.648438 1704770374.3261
MEM 13465.648438 1704770374.4266
MEM 13465.648438 1704770374.5271
MEM 13465.648438 1704770374.6275
MEM 13465.648438 1704770374.7278
MEM 13465.648438 1704770374.8282
MEM 13470.296875 1704770374.9286
MEM 13470.296875 1704770375.0289
MEM 13470.296875 1704770375.1292
MEM 13470.277344 1704770375.2296
MEM 13470.277344 1704770375.3299
MEM 13470.277344 1704770375.4303
MEM 13470.277344 1704770375.5306
MEM 13470.277344 1704770375.6310
MEM 13470.277344 1704770375.7316
MEM 13470.277344 1704770375.8319
MEM 13470.277344 1704770375.9323
MEM 13470.277344 1704770376.0326
MEM 13470.277344 1704770376.1330
MEM 13470.277344 1704770376.2333
MEM 13470.277344 1704770376.3338
MEM 13479.632812 1704770376.4341
MEM 13479.632812 1704770376.5345
MEM 13479.632812 1704770376.6349
MEM 13479.632812 1704770376.7353
MEM 13481.539062 1704770376.8360
MEM 13481.785156 1704770376.9364
MEM 13481.785156 1704770377.0372
MEM 13482.941406 1704770377.1376
MEM 13487.179688 1704770377.2379
MEM 13487.953125 1704770377.3382
MEM 13488.078125 1704770377.4386
MEM 13490.488281 1704770377.5389
MEM 13491.316406 1704770377.6392
MEM 13491.695312 1704770377.7395
MEM 13493.847656 1704770377.8399
MEM 13500.925781 1704770377.9402
MEM 13506.660156 1704770378.0405
MEM 13514.812500 1704770378.1408
MEM 13518.183594 1704770378.2411
MEM 13518.347656 1704770378.3414
MEM 13518.347656 1704770378.4417
MEM 13518.347656 1704770378.5420
MEM 13518.347656 1704770378.6424
MEM 13518.347656 1704770378.7427
MEM 13518.347656 1704770378.8432
MEM 13518.328125 1704770378.9437
MEM 13518.328125 1704770379.0442
MEM 13518.328125 1704770379.1446
MEM 13518.328125 1704770379.2451
MEM 13518.328125 1704770379.3456
MEM 13518.328125 1704770379.4461
MEM 13518.328125 1704770379.5465
MEM 13518.328125 1704770379.6471
MEM 13518.328125 1704770379.7474
MEM 13518.328125 1704770379.8478
MEM 13518.328125 1704770379.9481
MEM 13518.328125 1704770380.0485
MEM 13518.421875 1704770380.1491
MEM 13518.675781 1704770380.2497
MEM 13519.937500 1704770380.3503
MEM 13519.937500 1704770380.4508
MEM 13519.937500 1704770380.5512
MEM 13519.937500 1704770380.6516
MEM 13519.937500 1704770380.7519
MEM 13519.937500 1704770380.8522
MEM 13519.937500 1704770380.9526
MEM 13519.937500 1704770381.0529
MEM 13520.226562 1704770381.1534
MEM 13520.226562 1704770381.2538
MEM 13520.226562 1704770381.3543
MEM 13520.226562 1704770381.4548
MEM 13520.226562 1704770381.5552
MEM 13520.312500 1704770381.6556
MEM 13520.312500 1704770381.7559
MEM 13520.312500 1704770381.8562
MEM 13520.312500 1704770381.9566
MEM 13520.312500 1704770382.0570
MEM 13520.312500 1704770382.1574
MEM 13520.312500 1704770382.2578
MEM 13520.292969 1704770382.3581
MEM 13520.292969 1704770382.4586
MEM 13520.292969 1704770382.5590
MEM 13520.292969 1704770382.6594
MEM 13520.292969 1704770382.7599
MEM 13520.292969 1704770382.8604
MEM 13520.292969 1704770382.9609
MEM 13520.292969 1704770383.0613
MEM 13520.292969 1704770383.1618
MEM 13520.292969 1704770383.2623
MEM 13520.292969 1704770383.3628
MEM 13520.292969 1704770383.4633
MEM 13520.292969 1704770383.5639
MEM 13520.292969 1704770383.6643
MEM 13520.324219 1704770383.7648
MEM 13520.324219 1704770383.8653
MEM 13520.324219 1704770383.9659
MEM 13520.324219 1704770384.0665
MEM 13520.324219 1704770384.1670
MEM 13520.324219 1704770384.2674
MEM 13520.324219 1704770384.3677
MEM 13520.324219 1704770384.4680
MEM 13520.324219 1704770384.5683
MEM 13520.324219 1704770384.6686
MEM 13520.324219 1704770384.7691
MEM 13520.324219 1704770384.8695
MEM 13520.324219 1704770384.9698
MEM 13520.324219 1704770385.0701
MEM 13520.324219 1704770385.1705
MEM 13520.324219 1704770385.2708
MEM 13520.324219 1704770385.3711
MEM 13520.324219 1704770385.4714
MEM 13520.324219 1704770385.5720
MEM 13520.324219 1704770385.6723
MEM 13520.324219 1704770385.7726
MEM 13520.324219 1704770385.8730
MEM 13520.324219 1704770385.9734
MEM 13520.324219 1704770386.0739
MEM 13520.324219 1704770386.1744
MEM 13520.324219 1704770386.2749
MEM 13520.324219 1704770386.3754
MEM 13520.324219 1704770386.4759
MEM 13520.324219 1704770386.5764
MEM 13520.324219 1704770386.6769
MEM 13520.324219 1704770386.7773
MEM 13520.324219 1704770386.8777
MEM 13520.304688 1704770386.9781
MEM 13520.304688 1704770387.0784
MEM 13520.304688 1704770387.1788
MEM 13520.304688 1704770387.2792
MEM 13520.304688 1704770387.3797
MEM 13520.304688 1704770387.4802
MEM 13520.304688 1704770387.5807
MEM 13520.304688 1704770387.6810
MEM 13520.304688 1704770387.7814
MEM 13520.304688 1704770387.8818
MEM 13520.304688 1704770387.9822
MEM 13520.304688 1704770388.0826
MEM 13520.304688 1704770388.1832
MEM 13520.304688 1704770388.2836
MEM 13520.304688 1704770388.3839
MEM 13520.285156 1704770388.4843
MEM 13520.285156 1704770388.5847
MEM 13520.285156 1704770388.6851
MEM 13520.285156 1704770388.7855
MEM 13520.285156 1704770388.8859
MEM 13520.285156 1704770388.9863
MEM 13520.285156 1704770389.0866
MEM 13520.285156 1704770389.1870
MEM 13520.285156 1704770389.2873
MEM 13520.285156 1704770389.3877
MEM 13520.285156 1704770389.4881
MEM 13520.285156 1704770389.5884
MEM 13520.285156 1704770389.6889
MEM 13520.285156 1704770389.7894
MEM 13520.285156 1704770389.8900
MEM 13520.394531 1704770389.9904
MEM 13520.394531 1704770390.0907
MEM 13520.394531 1704770390.1910
MEM 13520.394531 1704770390.2913
MEM 13520.394531 1704770390.3917
MEM 13520.394531 1704770390.4921
MEM 13520.394531 1704770390.5925
MEM 13520.394531 1704770390.6929
MEM 13520.394531 1704770390.7933
MEM 13520.394531 1704770390.8936
MEM 13520.394531 1704770390.9939
MEM 13520.394531 1704770391.0942
MEM 13520.394531 1704770391.1945
MEM 13520.394531 1704770391.2949
MEM 13520.394531 1704770391.3953
MEM 13520.378906 1704770391.4957
MEM 13520.378906 1704770391.5961
MEM 13520.378906 1704770391.6966
MEM 13520.378906 1704770391.7973
MEM 13520.378906 1704770391.8977
MEM 13520.378906 1704770391.9982
MEM 13520.378906 1704770392.0985
MEM 13520.378906 1704770392.1988
MEM 13520.378906 1704770392.2993
MEM 13520.378906 1704770392.3998
MEM 13520.378906 1704770392.5001
MEM 13520.378906 1704770392.6005
MEM 13520.378906 1704770392.7008
MEM 13520.382812 1704770392.8013
MEM 13520.382812 1704770392.9017
MEM 13520.363281 1704770393.0022
MEM 13520.363281 1704770393.1027
MEM 13520.363281 1704770393.2034
MEM 13520.363281 1704770393.3039
MEM 13520.363281 1704770393.4044
MEM 13520.363281 1704770393.5049
MEM 13520.363281 1704770393.6054
MEM 13520.363281 1704770393.7059
MEM 13520.363281 1704770393.8064
MEM 13520.363281 1704770393.9069
MEM 13520.363281 1704770394.0073
MEM 13520.363281 1704770394.1076
MEM 13520.363281 1704770394.2079
MEM 13520.363281 1704770394.3083
MEM 13523.972656 1704770394.4088
MEM 13520.343750 1704770394.5092
MEM 13520.343750 1704770394.6095
MEM 13520.343750 1704770394.7099
MEM 13520.343750 1704770394.8102
MEM 13520.343750 1704770394.9105
MEM 13520.343750 1704770395.0109
MEM 13520.343750 1704770395.1113
MEM 13520.343750 1704770395.2117
MEM 13520.343750 1704770395.3120
MEM 13520.343750 1704770395.4124
